AgeGroup,IncomeLevel,CreditScore,Employment,LoanApproved
Young,Low,Bad,No,No
Young,Medium,Good,Yes,Yes
Middle,Low,Good,Yes,Yes
Senior,Medium,Bad,No,No
Middle,High,Good,No,Yes
Young,Medium,Bad,Yes,No
Senior,Low,Good,Yes,Yes
Young,High,Bad,No,No
Senior,High,Good,Yes,Yes
Middle,Low,Bad,Yes,No
Middle,Medium,Bad,No,No
Senior,Medium,Good,No,Yes
Young,Medium,Good,No,No
Young,High,Good,Yes,Yes
Senior,Low,Bad,Yes,No
Middle,High,Bad,No,No
Senior,High,Bad,No,No
Middle,Medium,Good,Yes,Yes
Young,Low,Good,Yes,Yes
